"Map","stateName","HotelRating","Latitude","Longitude"
"25.768285, -80.20941","Florida",2,25.768285,-80.20941
"25.7682998, -80.209407899999974","Florida",4,25.7682998,-80.20940789999997
"25.768409, -80.189698","Florida",4,25.768409,-80.189698
"25.76844, -80.190025","Florida",5,25.76844,-80.190025
"25.768446, -80.189847","Florida",3,25.768446,-80.189847
"25.768453, -80.190165","Florida",3,25.768453,-80.190165
"25.768499374, -80.190101624","Florida",5,25.768499374,-80.190101624
"25.768552780151367, -80.18936157226562","Florida",2,25.768552780151367,-80.18936157226562
"25.768663, -80.188727","Florida",4,25.768663,-80.188727
"25.76868, -80.1895","Florida",4,25.76868,-80.1895
"25.768686, -80.188958","Florida",4,25.768686,-80.188958
"25.768701, -80.189124","Florida",4,25.768701,-80.189124
"25.768762, -80.188908","Florida",4,25.768762,-80.188908
"25.76924, -80.13526","Florida",5,25.76924,-80.13526
"25.7694, -80.18929","Florida",4,25.7694,-80.18929
"25.769669, -80.132998","Florida",4,25.769669,-80.132998
"25.769679, -80.133023","Florida",4,25.769679,-80.133023
"25.769863, -80.137658","Florida",2,25.769863,-80.137658
"25.76995, -80.13424","Florida",3,25.76995,-80.13424
"25.770099, -80.134299","Florida",3,25.770099,-80.134299
"25.7704, -80.132835","Florida",4,25.7704,-80.132835
"25.77043, -80.133","Florida",3,25.77043,-80.133
"25.770826, -80.18913","Florida",5,25.770826,-80.18913
"25.770895, -80.191086","Florida",4,25.770895,-80.191086
"25.770906, -80.18961","Florida",5,25.770906,-80.18961
"25.77092, -80.18867","Florida",3,25.77092,-80.18867
"25.770922, -80.189384","Florida",5,25.770922,-80.189384
"25.771179, -80.133785","Florida",3,25.771179,-80.133785
"25.77132, -80.19194","Florida",2,25.77132,-80.19194
"25.771372, -80.26259","Florida",3,25.771372,-80.26259
"25.771555, -80.137145","Florida",3,25.771555,-80.137145
"25.771874, -80.134669","Florida",1,25.771874,-80.134669
"25.77197, -80.20147","Florida",2,25.77197,-80.20147
"25.772100449, -80.133270264","Florida",3,25.772100449,-80.133270264
"25.77215, -80.25024","Florida",1,25.77215,-80.25024
"25.7722, -80.2016","Florida",3,25.7722,-80.2016
"25.7724, -80.13544","Florida",3,25.7724,-80.13544
"25.772579, -80.186221","Florida",5,25.772579,-80.186221
"25.7726005, -80.1332438","Florida",4,25.7726005,-80.1332438
"25.772606, -80.190704","Florida",3,25.772606,-80.190704
"25.772632, -80.133429","Florida",3,25.772632,-80.133429
"25.77266, -80.13188","Florida",2,25.77266,-80.13188
"25.77267, -80.13199","Florida",3,25.77267,-80.13199
"25.77275, -80.20118","Florida",3,25.77275,-80.20118
"25.77296, -80.13367","Florida",3,25.77296,-80.13367
"25.77298, -80.1351","Florida",3,25.77298,-80.1351
"25.77312, -80.13509","Florida",3,25.77312,-80.13509
"25.7731258, -80.1325214","Florida",4,25.7731258,-80.1325214
"25.77313, -80.13519","Florida",3,25.77313,-80.13519
"25.77315, -80.13519","Florida",3,25.77315,-80.13519
"25.773165, -80.132576","Florida",3,25.773165,-80.132576
"25.773201, -80.206044","Florida",4,25.773201,-80.206044
"25.773203, -80.134381","Florida",3,25.773203,-80.134381
"25.773351, -80.132224","Florida",3,25.773351,-80.132224
"25.773359299, -80.134391785","Florida",2,25.773359299,-80.134391785
"25.773382, -80.1914","Florida",4,25.773382,-80.1914
"25.7734456766266, -80.3955915570259","Florida",3,25.7734456766266,-80.3955915570259
"25.77356, -80.13227","Florida",3,25.77356,-80.13227
"25.77357, -80.134466","Florida",4,25.77357,-80.134466
"25.773793, -80.134021","Florida",2,25.773793,-80.134021
"25.77385, -80.132075","Florida",4,25.77385,-80.132075
"25.773926, -80.132073","Florida",3,25.773926,-80.132073
"25.773958, -80.132116","Florida",3,25.773958,-80.132116
"25.774015, -80.13636","Florida",4,25.774015,-80.13636
"25.77421, -80.13517","Florida",4,25.77421,-80.13517
"25.774515, -80.136057","Florida",4,25.774515,-80.136057
"25.774948, -80.207502","Florida",4,25.774948,-80.207502
"25.774971, -80.132139","Florida",4,25.774971,-80.132139
"25.775030136, -80.136077881","Florida",4,25.775030136,-80.136077881
"25.775169, -80.1345149","Florida",3,25.775169,-80.1345149
"25.77523, -80.13197","Florida",3,25.77523,-80.13197
"25.775291, -80.188312","Florida",2,25.775291,-80.188312
"25.775329, -80.134048","Florida",3,25.775329,-80.134048
"25.77539, -80.132058","Florida",3,25.77539,-80.132058
"25.77539, -80.13206","Florida",3,25.77539,-80.13206
"25.7754, -80.13639","Florida",3,25.7754,-80.13639
"25.775646, -80.1336","Florida",4,25.775646,-80.1336
"25.775649, -80.13839","Florida",3,25.775649,-80.13839
"25.775694, -80.131617","Florida",3,25.775694,-80.131617
